Area_Id,Area,Latitude,Longitude
7432,Nemam-Bus stop,13.07817,80.025441
7433,Nerkundram-Bus stop,13.071566,80.185852
7737,Nesapakkam-MGR Statue Bus stop,13.0315,80.1912
7435,New Perungalathur-Bus Stand,12.906114,80.096047
7738,New Perungalathur-Perumal Kovil,12.901358,80.091194
7436,New Washermanpet-Agarwal Eye Hospital,13.1366967,80.2937352
7437,Nolambur-Bus stand,13.072216,80.167308
7876,Nolambur-Thai Moogambigai Dental College,13.0736,80.1782
7438,Noombal-Sivan Kovil,13.0555,80.1403
7740,Nungambakkam-Income Tax Bus Stop,13.057089,80.248566
7440,Nungambakkam-Loyola College MTC Bus Stop,13.0646,80.2348
7442,Nungambakkam-Police Station,13.0599,80.2426
7801,Nungambakkam-Railway Station,13.065768,80.232558
7441,Nungambakkam-Sterling Road MTC Bus Stop,13.0652,80.2398
7741,Old Pallavaram-Murugan Kovil,12.9631,80.172
7403,Old Perungalathur-Lakshmipuram MTC Bus Stop,12.9253,80.101
7444,Old Perungalathur-MTC Bus stop,12.919053,80.083817
7445,Old Washermanpet-Cemetry Road,13.1099,80.2811
7446,Old Washermanpet-Maharani,13.1174,80.2843
7314,Old Washermanpet-Pandiyan Theatre,13.1127,80.2817
7449,Ottery-Podi Kadai Bus stop,13.0974,80.248
7315,Ottery-Saravana Theatre bus stop,13.0939,80.2509
7448,Ottery-T.B Hospital,13.097,80.2454
7447,Ottery-Vandalur Bus stop,12.8935,80.082
7742,Ottiambakkam-Bus stop,12.8623,80.1913
7450,Padapai-Bus stop,12.88654,80.021599
14465,Padapai-Nariyambakkam Bus Stop,12.868529,79.972316
7451,Padi-Lucas Tvs,13.1037301,80.1863286
7452,Padi-Opp To Britannia,13.0983,80.1807
7453,Padur- Hindustan College(Opp),12.801485,80.223491
7454,Palavakkam-Arch,12.9631,80.2568
7743,Palavakkam-Panchayat Office,12.9611,80.2562
7459,Pallavaram Bypass-Shell Petrol Bunk,12.9521,80.1703
7460,Pallavaram Bypass-Viduthalai Nagar Stop,12.9484,80.1998
7457,Pallavaram-Bridge Beginning,12.9587,80.1503
7836,Pallavaram-Inayath Mahal,12.9699,80.1459
7455,Pallavaram-MTC Bus Stop,12.9695,80.1502
7456,Pallavaram-Signal,12.9667,80.1489
7465,Pallikaranai-Balaji Dental College,12.9433,80.2073
7461,Pallikaranai-Bus stop,12.9339,80.2039
7802,Pallikaranai-Kamakshi Hospital,12.949049,80.210026
7464,Pallikaranai-Narayanapuram Bus Stop,12.9399,80.2056
7463,Pallikaranai-Oil Mill,12.92959,80.202776
7462,Pallikaranai-Panchayat office,12.9331,80.2041
7744,Pallikaranai-Puliyamaram Bus Stop,12.921,80.1969
7468,Pammal-Krishna Nagar,12.9729,80.1385
